species	NCBI.txid	No_AAS_total	No_CDS_total	No_AAS_Busco	No_CDS_Busco	No_AAS_CDS_corresponding
Eriocheir_sinensis	95602	54884	54884	890	890	885
Erpetoichthys_calabaricus	27687	40209	40367	961	961	951
Erpornis_zantholeuca	1112836	13321	15087	813	813	809
Erythrocercus_mccallii	107208	14054	15791	841	841	841
Esox_lucius	8010	58111	58192	908	908	857
Etheostoma_cragini	417921	45178	45242	921	921	917
Etheostoma_spectabile	54343	45686	45778	851	851	817
Eublepharis_macularius	481883	34188	34269	958	958	955
Eubucco_bourcierii	91767	14172	15602	871	871	871
Eudyptes_chrysocome	79626	12871	14218	733	733	733
Eudyptes_chrysolophus	79627	15079	16152	751	751	751
Eudyptes_filholi	1419345	12955	13993	747	747	747
Eudyptes_moseleyi	2495534	15514	16610	880	880	878
Eudyptes_schlegeli	57240	15790	16951	883	883	882
Eudyptes_sclateri	92688	12811	13831	726	726	726
Eudyptula_albosignata	345258	15477	17226	789	789	789
Eudyptula_minor	37083	15672	17556	783	783	783
Eudyptula_novaehollandiae	2052820	15149	16969	816	816	816
Eufriesea_mexicana	516756	15659	15659	946	946	929
Eulacestoma_nigropectus	461239	14313	16059	851	851	850
Eumeta_japonica	151549	96513	96513	847	847	843
Eumetopias_jubatus	34886	39926	39994	921	921	918
Eupeodes_corollae	290404	22320	22320	953	953	952
Euphydryas_editha	104508	26018	26018	945	945	945
Euroglyphus_maynei	6958	15257	15257	815	815	811
Eurypyga_helias	54383	15656	15669	822	822	719
Eurystomus_gularis	325343	13953	15305	817	817	815
Eurytemora_affinis	88015	30425	30425	902	902	841
Exaiptasia_diaphana	2652724	27753	27753	908	908	231
Falco_biarmicus	345155	41502	41530	900	900	892
Falco_cherrug	345164	42962	42980	910	910	906
Falco_naumanni	148594	41132	41160	919	919	917
Falco_peregrinus	8954	41990	42014	911	911	897
Falco_rusticolus	120794	41389	41414	925	925	907
Falcunculus_frontatus	254539	14459	16010	848	848	847
Fasciolopsis_buski	27845	11837	11837	805	805	798
Felis_catus	9685	54726	54812	955	955	942
Ficedula_albicollis	59894	26464	26481	894	894	884
Folsomia_candida	158441	37114	37114	914	914	913
Fopius_arisanus	64838	18906	18906	967	967	943
Formica_exsecta	72781	22509	22509	926	926	905
Formicarius_rufipectus	1118560	13609	15393	842	842	842
Fragariocoptes_setiger	1670756	3058	3058	374	374	374
Frankliniella_occidentalis	133901	27492	27492	960	960	934
Fregata_magnificens	37042	13189	14822	783	783	780
Fregetta_grallaria	79628	13517	15459	782	782	782
Frieseomelitta_varia	561572	23628	23628	962	962	961
Fukomys_damarensis	885580	47201	47380	939	939	927
Fulmarus_glacialis	30455	16240	16251	848	848	758
Fundulus_heteroclitus	8078	49534	49787	895	895	883
Furnarius_figulus	463165	13878	15452	846	846	845
Gadus_morhua	8049	45039	45098	935	935	911
Galbula_dea	1109041	14674	16106	888	888	888
Galemys_pyrenaicus	202257	20909	20936	923	923	824
Galendromus_occidentalis	34638	11873	11873	893	893	867
Galeopterus_variegatus	482537	32104	32364	919	919	885
Galleria_mellonella	7137	23155	23155	959	959	951
Gallus_gallus	9031	49673	49772	932	932	797
Gambusia_affinis	33528	49230	49373	933	933	926
Gasterosteus_aculeatus	69293	45395	45534	920	920	900
Gavia_stellata	37040	15697	15709	839	839	725
Gavialis_gangeticus	94835	27294	27317	859	859	849
Gekko_japonicus	146911	24464	24536	949	949	907
Geococcyx_californianus	8947	13481	14734	797	797	797
Geospiza_fortis	48883	20619	20627	885	885	838
Geotrypetes_seraphini	260995	50018	50054	926	926	912
Gigantopelta_aegis	1735272	33249	33249	934	934	922
Girardinichthys_multiradiatus	208333	48638	48818	887	887	886
Glareola_pratincola	43316	13787	15334	836	836	836
Glaucidium_brasilianum	78217	14195	15602	854	854	854
Globicephala_melas	9731	54546	54607	941	941	938
Glossina_fuscipes	7396	22320	22320	939	939	933
Gongylonema_pulchrum	637853	27123	27158	724	724	558
Gonioctena_quinquepunctata	63699	40565	40565	919	919	918
Gopherus_evgoodei	1825980	50852	51007	946	946	918
Gopherus_flavomarginatus	286002	53745	53896	960	960	956
Gorilla_gorilla	9593	51652	51793	922	922	913
Gouania_willdenowi	441366	43478	43489	903	903	882
Gracilinanus_agilis	191870	28926	29049	877	877	867
Grallaria_varia	117165	13918	15487	842	842	839
Grammomys_surdaster	491861	38183	38463	908	908	905
Grantiella_picta	266360	14078	15742	857	857	857
Grus_americana	9117	49146	49200	955	955	952
Gryllus_bimaculatus	6999	25032	25032	913	913	911
Gulo_gulo	48420	9727	9727	730	730	730
Gymnodraco_acuticeps	8218	45727	45847	898	898	843
Gymnogyps_californianus	33616	25288	25333	883	883	843
Gymnorhina_tibicen	9132	14317	16013	838	838	832
Habropoda_laboriosa	597456	12256	12256	964	964	911
Haemaphysalis_longicornis	44386	25651	25651	663	663	663
Haemonchus_placei	6290	21425	21928	842	842	758
Halcyon_senegalensis	342381	14274	15694	852	852	852
Haliaeetus_albicilla	8969	19224	19236	849	849	756
Haliaeetus_leucocephalus	52644	25265	25280	932	932	920
Halichoerus_grypus	9711	60137	60231	878	878	835
Haliotis_rubra	36100	43422	43422	917	917	818
Haliotis_rufescens	6454	55609	55609	957	957	957
Halotydeus_destructor	2874060	14583	14583	887	887	887
Halyomorpha_halys	286706	25026	25026	947	947	931
Haplochromis_burtoni	8153	48919	49023	916	916	885
Harmonia_axyridis	115357	23861	23861	923	923	922
Harpegnathos_saltator	610380	26784	26784	945	945	944
Harpia_harpyja	202280	44808	44852	937	937	921
Helicoverpa_armigera	29058	28010	28010	916	916	904
Helicoverpa_zea	7113	23696	23696	964	964	962
Heliornis_fulica	54369	13543	14993	814	814	810
Helobdella_robusta	6412	23368	23368	914	914	914
Hemibagrus_wyckioides	337641	22794	22794	913	913	913
Hemicordylus_capensis	884348	71278	71338	955	955	955
Henneguya_salminicola	69463	8187	8187	425	425	425
Hermetia_illucens	343691	24828	24828	969	969	963
Herpetotheres_cachinnans	56343	14335	15806	862	862	862
Heterocephalus_glaber	10181	60814	60912	935	935	910
Heterotrigona_itama	395501	9722	12314	698	698	524
Hippocampus_comes	109280	41961	41983	945	945	936
Hippocampus_zosterae	109293	42893	42902	932	932	928
Hippoglossus_hippoglossus	8267	47030	47083	928	928	921
Hippoglossus_stenolepis	195615	42078	42138	935	935	932
Hippolais_icterina	68497	13649	15369	811	811	808
Hipposideros_armiger	186990	45789	45923	931	931	913
Hirundo_rustica	43150	37939	37958	914	914	899
Holotrichia_oblita	644536	19334	19334	451	451	451
Homalodisca_vitripennis	197043	31163	31163	783	783	759
Homarus_americanus	6706	40732	40732	941	941	885
Homo_sapiens	9606	113620	114507	947	947	932
Horornis_vulcanius	2585811	9896	11388	654	654	652
Hyaena_hyaena	95912	41367	41482	920	920	912
Hyalella_azteca	294128	22614	22614	923	923	874
Hyalomma_asiaticum	266040	29644	29657	751	751	751
Hydatigera_taeniaeformis	6205	11598	11649	802	802	720
Hydra_vulgaris	6087	32703	32703	922	922	909
Hylia_prasina	208073	13461	15213	799	799	797
Hylobates_moloch	81572	54438	54573	882	882	878
Hymenochirus_boettgeri	247094	28027	28027	939	939	938
Hypocryptadius_cinnamomeus	589841	12390	13837	770	770	768
Hypomesus_transpacificus	137520	38428	38495	854	854	849
Hyposmocoma_kahamanoa	1477025	20437	20437	928	928	922
Hypsibius_exemplaris	2072580	20853	20860	890	890	889
Ibidorhyncha_struthersii	425643	13853	15486	824	824	822
Ictalurus_furcatus	66913	44245	44470	902	902	900
Ictalurus_punctatus	7998	50969	51173	889	889	796
Ictidomys_tridecemlineatus	43179	55882	56003	929	929	921
Ifrita_kowaldi	461245	14022	15552	836	836	835
Ignelater_luminosus	2038154	27558	27558	905	905	898
Illadopsis_cleaveri	201329	13414	15145	817	817	811
Indicator_indicator	1002788	20192	20199	894	894	886
Indicator_maculatus	545262	13966	15390	862	862	861
Intoshia_linei	1819745	8724	8724	662	662	662
Iphiclides_podalirius	110791	20212	20212	836	836	836
Irena_cyanogastra	175120	14236	16049	838	838	835
Ischnura_elegans	197161	27076	27076	969	969	969
Ixodes_persulcatus	34615	28396	28510	826	826	801
Ixodes_scapularis	6945	32572	32572	845	845	827
Jacana_jacana	54508	13240	14651	797	797	792
Jaculus_jaculus	51337	44841	44894	841	841	834
Kryptolebias_marmoratus	37003	42533	42570	941	941	928
Kudoa_iwatai	269814	10	10	0	0	NA
Labeo_rohita	84645	47439	47779	916	916	903
Labrus_bergylta	56723	36555	36848	868	868	762
Lacerta_agilis	80427	39267	39306	923	923	893
Ladona_fulva	123851	18840	18840	941	941	767
Lagenorhynchus_obliquidens	90247	54600	54651	944	944	941
Lagopus_leucura	30410	33183	33208	914	914	895
Lagopus_muta	64668	43798	43848	914	914	898
Lamellibrachia_satsuma	104711	32394	32394	943	943	943
Lampris_incognitus	2546036	29527	29635	917	917	915
Lamprotornis_superbus	245042	14256	14846	836	836	831
Lanius_ludovicianus	28713	13688	15437	825	825	821
Larimichthys_crocea	215358	46335	46391	931	931	926
Larus_smithsonianus	243888	14080	15341	827	827	827
Lasius_niger	67767	18247	18247	841	841	811
Lates_calcarifer	8187	45223	45427	891	891	878
Latimeria_chalumnae	7897	34251	34340	956	956	776
Leguminivora_glycinivorella	1035111	23735	23735	899	899	820
Leiothrix_lutea	36275	13282	15309	786	786	786
Lemur_catta	9447	45154	45273	916	916	911
Leopardus_geoffroyi	46844	67505	67613	944	944	938
Lepeophtheirus_salmonis	72036	20654	20654	890	890	872
Lepidothrix_coronata	321398	36671	36686	912	912	899
Lepisosteus_oculatus	7918	41647	41719	946	946	934
Leptidea_sinapis	189913	22285	22285	953	953	953
Leptinotarsa_decemlineata	7539	19038	19038	926	926	849
Leptocoma_aspasia	2585812	13732	15795	829	829	828
Leptonychotes_weddellii	9713	40286	40334	918	918	892
Leptopilina_boulardi	63433	23859	23859	962	962	961
Leptopilina_heterotoma	63436	24645	24645	961	961	961
Leptosomus_discolor	188344	16371	16384	848	848	758
Leptotrombidium_deliense	299467	14667	14667	869	869	866
Leucoraja_erinacea	7782	36230	36284	914	914	898
Limosa_lapponica	161683	23009	23009	712	712	709
Limulus_polyphemus	6850	38676	38676	869	869	841
Linepithema_humile	83485	21674	21674	960	960	933
Lingula_anatina	7574	41392	41392	730	730	710
Liparis_tanakae	230148	68289	68289	866	866	866
Lipotes_vexillifer	118797	25953	25982	932	932	891
Lithobates_catesbeianus	8400	28771	28771	556	556	556
Loa_loa	7209	15440	15440	878	878	878
Locustella_ochotensis	187437	13928	15665	831	831	831
Lonchura_striata	40157	29134	29150	944	944	922
Lontra_canadensis	76717	48337	48471	904	904	899
Lophotis_ruficrista	172689	13916	15292	829	829	829
Lottia_gigantea	225164	23822	23831	943	943	943
Loxia_curvirostra	64802	14578	16361	866	866	861
Loxia_leucoptera	96539	13993	15803	827	827	818
Loxodonta_africana	9785	41267	41482	950	950	905
Lucifuga_dentata	670423	29968	29968	889	889	879
Lucilia_cuprina	7375	18864	18864	968	968	964
Lucilia_sericata	13632	23700	23700	888	888	853
Lutra_lutra	9657	57487	57607	880	880	856
Lutzomyia_longipalpis	7200	20287	20287	956	956	952
Lynx_canadensis	61383	42066	42155	939	939	883
Lynx_pardinus	191816	31025	31025	920	920	911
Lynx_rufus	61384	38579	38697	941	941	941
Lytechinus_pictus	7653	27757	27757	699	699	676
Lytechinus_variegatus	7654	33682	33682	789	789	784
Macaca_fascicularis	9541	73371	73577	889	889	883
Macaca_mulatta	9544	67976	68172	928	928	881
Macaca_nemestrina	9545	66484	66722	938	938	907
Macaca_thibetana	54602	62468	62648	885	885	878
Machaerirhynchus_nigripectus	1160894	13969	15706	818	818	816
Macrosteles_quadrilineatus	74068	34269	34269	609	609	607
Macrostomum_lignano	282301	49018	49018	90	90	90
Malaclemys_terrapin	8485	44760	44948	955	955	951
Malurus_elegans	720584	14038	15586	849	849	848
Manacus_candei	415023	44973	45016	939	939	926
Manacus_vitellinus	328815	24616	24624	868	868	823
Mandrillus_leucophaeus	9568	38336	38534	930	930	903
Manduca_sexta	7130	24854	24854	854	854	827
Maniola_hyperantus	2795564	17675	17675	959	959	944
Maniola_jurtina	191418	25734	25734	961	961	957
Manis_javanica	9974	55869	55934	934	934	926
Manis_pentadactyla	143292	58167	58229	918	918	913
Marmota_flaviventris	93162	37627	37793	895	895	894
Marmota_marmota	9993	56596	56804	902	902	882
Marmota_monax	9995	50783	51018	880	880	878
Mastacembelus_armatus	205130	42270	42594	927	927	925
Mastomys_coucha	35658	54407	54522	939	939	932
Mauremys_mutica	74926	54920	55334	927	927	923
Mauremys_reevesii	260615	67501	67787	951	951	942
Maylandia_zebra	106582	46173	46358	907	907	905
Medioppia_subpectinata	1979941	23374	23681	757	757	748
Megachile_rotundata	143995	26024	26024	960	960	957
Megadyptes_antipodes	37085	14596	16328	816	816	816
Megalobrama_amblycephala	75352	59927	60670	916	916	898
Megalops_atlanticus	7932	23905	23905	793	793	793
Megalops_cyprinoides	118141	40137	40195	800	800	798
Megalopta_genalis	115081	22381	22381	929	929	907
Megalurothrips_usitatus	439358	12782	12782	857	857	851
Melanaphis_sacchari	742174	19074	19074	926	926	921
Melanocharis_versteri	254552	13985	15648	832	832	822
Melanotaenia_boesemani	1250792	45791	46013	935	935	931
Meleagris_gallopavo	9103	29660	29710	906	906	871
Meles_meles	9662	50518	50628	902	902	899
Melipona_quadrifasciata	166423	14257	14257	896	896	895
Melitaea_cinxia	113334	14667	14667	966	966	959
Meloidogyne_enterolobii	390850	59773	59773	109	109	108
Meloidogyne_graminicola	189291	10198	10198	597	597	597
Melopsittacus_undulatus	13146	29165	29187	945	945	939
Melospiza_melodia	44397	14000	16856	806	806	806
Melozone_crissalis	40204	27114	27338	930	930	916
Menidia_menidia	238744	21493	21493	805	805	757
Menura_novaehollandiae	47692	14444	16027	845	845	845
Mercenaria_mercenaria	6596	60841	60841	906	906	886
Meriones_unguiculatus	10047	38763	38999	885	885	878
Merops_nubicus	57421	15431	15460	819	819	718
Mesembrinibis_cayennensis	1118748	13877	15762	827	827	825
Mesitornis_unicolor	54374	16646	16661	861	861	773
Mesocestoides_corti	53468	10577	10614	823	823	735
Mesocricetus_auratus	10036	53064	53304	899	899	899
Microcaecilia_unicolor	1415580	37109	37174	919	919	880
Microplitis_demolitor	69319	20167	20167	951	951	951
Micropterus_dolomieu	147949	48260	48455	936	936	920
Micropterus_salmoides	27706	47899	48385	858	858	832
Microtus_fortis	100897	47830	48087	866	866	856
Microtus_ochrogaster	79684	37795	37971	937	937	925
Microtus_oregoni	111838	50326	50590	786	786	785
Miniopterus_natalensis	291302	29787	29861	958	958	948
Mionectes_macconnelli	254557	14186	15664	849	849	849
Mirounga_angustirostris	9716	42520	42591	888	888	883
Mirounga_leonina	9715	45186	45230	876	876	875
Mischocyttarus_mexicanus	91405	17033	17033	868	868	867
Misgurnus_anguillicaudatus	75329	53917	54278	895	895	882
Mizuhopecten_yessoensis	6573	41567	41567	947	947	939
Mohoua_ochrocephala	874463	13579	15105	799	799	799
Molossus_molossus	27622	42753	42794	903	903	898
Molothrus_ater	84834	28498	28503	926	926	894
Monodelphis_domestica	13616	49112	49302	932	932	907
Monodon_monoceros	40151	45047	45097	935	935	930
Monomorium_pharaonis	307658	29165	29165	938	938	933
Monopterus_albus	43700	40334	40372	938	938	884
Morone_saxatilis	34816	30912	30918	890	890	748
Moschus_berezovskii	68408	45574	45649	864	864	852
Motacilla_alba	45807	42246	42301	894	894	883
Mugil_cephalus	48193	44626	44782	922	922	921
Muntiacus_muntjak	9888	25737	25737	875	875	873
Muraenolepis_orangiensis	630683	34850	34850	864	864	852
Mus_caroli	10089	47409	47577	940	940	908
Mus_musculus	10090	76226	77058	940	940	939
Mus_pahari	10093	42226	42393	938	938	922
Musca_domestica	7370	21304	21304	944	944	908
Muscidifurax_raptorellus	51938	13	13	0	0	NA
Mustela_erminea	36723	60443	60556	915	915	906
Mustela_putorius	9668	57554	57696	911	911	907
Mya_arenaria	6604	61919	61919	784	784	783
Myiagra_hebetior	381031	13909	15674	828	828	823
Myiozetetes_cayanensis	478635	35678	35689	957	957	915
Myodes_glareolus	447135	46944	47127	852	852	844
Myotis_brandtii	109478	40808	40937	890	890	857
Myotis_davidii	225400	33106	33196	933	933	888
Myotis_lucifugus	59463	43106	43257	904	904	861
Myotis_myotis	51298	61156	61234	861	861	857
Myripristis_murdjan	586833	38141	38366	917	917	908
Mystacornis_crossleyi	98133	10577	11950	677	677	675
Mythimna_separata	271217	17542	17542	949	949	949
Mytilus_californianus	6549	49739	49739	934	934	930
Myxobolus_squamalis	59785	5723	5723	342	342	339
Myxocyprinus_asiaticus	70543	81143	81313	303	303	302
Myzus_persicae	13164	23910	23910	909	909	902
Naja_naja	35670	25817	25817	919	919	903
Nannospalax_galili	1026970	47817	48035	949	949	906
Nanorana_parkeri	125878	24758	24819	946	946	923
Nasonia_vitripennis	7425	24846	24846	945	945	860
Necator_americanus	51031	19153	19153	799	799	798
Nematolebias_whitei	451745	24104	24108	931	931	866
Nematostella_vectensis	45351	32370	32370	941	941	938
Neodiprion_fabricii	2872261	27443	27443	969	969	969
Neodiprion_lecontei	441921	28581	28581	967	967	967
Neodiprion_pinetum	441929	28705	28705	967	967	967
Neodiprion_virginianus	2961670	27752	27752	964	964	964
Neodrepanis_coruscans	254563	8840	9824	581	581	580
Neogale_vison	452646	44272	44368	902	902	898
Neolamprologus_brichardi	32507	36390	36452	927	927	902
Neomonachus_schauinslandi	29088	28381	28431	928	928	921
Neopelma_chrysocephalum	114329	39443	39483	920	920	896
Neophocaena_asiaeorientalis	189058	38119	38173	942	942	922
Neopipo_cinnamomea	456388	14004	15594	849	849	849
Neotoma_lepida	56216	24320	24320	879	879	644
Nephila_pilipes	299642	72441	72441	855	855	851
Nesidiocoris_tenuis	355587	24668	24668	538	538	519
Nesospiza_acunhae	381881	14089	16451	836	836	833
Nestor_notabilis	176057	15873	15886	844	844	760
Nezara_viridula	85310	20098	20099	870	870	869
Nibea_albiflora	240163	15965	23345	694	694	676
Nicator_chloris	237433	13597	15134	820	820	819
Nicrophorus_vespilloides	110193	19577	19577	959	959	953
Nilaparvata_lugens	108931	32453	32453	885	885	857
Nipponia_nippon	128390	17089	17103	902	902	850
Nomascus_leucogenys	61853	51330	51472	937	937	934
Nomia_melanderi	2448451	25323	25323	964	964	958
Notechis_scutatus	8663	31232	31291	942	942	930
Nothobranchius_furzeri	105023	36873	36915	943	943	880
Nothocercus_julius	2585813	13366	14778	820	820	819
Nothocercus_nigrocapillus	1977171	13113	14502	804	804	804
Nothoprocta_ornata	83376	13727	14967	846	846	846
Nothoprocta_pentlandii	2585814	13407	14572	817	817	817
Nothoprocta_perdicaria	30464	21504	21515	917	917	598
Notiomystis_cincta	366454	13651	15126	828	828	827
Notodromas_monacha	399045	14067	14121	807	807	806
Notolabrus_celidotus	1203425	39434	39563	886	886	854
Notothenia_coriiceps	8208	32182	32201	875	875	855
Numida_meleagris	8996	43240	43271	926	926	889
Nyctereutes_procyonoides	34880	27168	27168	890	890	890
Nyctibius_bracteatus	48426	13957	15627	820	820	820
Nycticebus_coucang	9470	56351	56518	819	819	816
Nycticryphes_semicollaris	227226	14324	15825	853	853	853
Nyctiprogne_leucopyga	382315	13386	14986	789	789	789
Nylanderia_fulva	613905	24514	24514	934	934	778
Nymphalis_io	171585	21050	21050	968	968	968
Oceanites_oceanicus	79653	14222	15848	832	832	832
Oceanodroma_tethys	79633	14013	15643	825	825	816
Ochotona_curzoniae	130825	41968	42075	877	877	876
Ochotona_princeps	9978	29688	29729	917	917	899
Octodon_degus	10160	42423	42600	873	873	849
Octopus_bimaculoides	37653	23994	23994	948	948	930
Octopus_sinensis	2607531	36112	36112	953	953	944
Odocoileus_virginianus	9874	48221	48326	925	925	912
Odontomachus_brunneus	486640	29175	29175	947	947	942
Odontophorus_gujanensis	886794	13830	15407	845	845	844
Oedothorax_gibbosus	931172	32682	32682	921	921	920
Oenanthe_oenanthe	279966	13570	15622	818	818	817
Oesophagostomum_dentatum	61180	25289	25289	697	697	684
Oikopleura_dioica	34765	18751	18794	760	760	760
Onchocerca_flexuosa	387005	8140	8140	639	639	639
Oncorhynchus_gorbuscha	8017	80331	80401	475	475	458
Oncorhynchus_keta	8018	116201	116275	489	489	478
Oncorhynchus_kisutch	8019	89277	89356	432	432	425
Oncorhynchus_mykiss	8022	97743	97900	409	409	394
Oncorhynchus_nerka	8023	68584	68670	491	491	485
Oncorhynchus_tshawytscha	74940	82597	82681	488	488	466
Onthophagus_taurus	166361	21668	21668	931	931	931
Onychomys_torridus	38674	43242	43554	913	913	904
Onychorhynchus_coronatus	360224	14358	15806	852	852	852
Onychostoma_macrolepis	369639	24754	24754	891	891	891
Onychostruthus_taczanowskii	356909	32357	32382	944	944	923
Ooceraea_biroi	2015173	24215	24215	940	940	939
Oopsacas_minuta	111878	16413	16413	802	802	802
Ophiophagus_hannah	8665	18445	18445	769	769	757
Opisthocomus_hoazin	30419	14878	14891	828	828	767
Opisthorchis_felineus	147828	20867	20867	865	865	865
Opisthorchis_viverrini	6198	16356	16356	788	788	786
Oppia_nitens	1686743	16969	16969	916	916	851
Oppiella_nova	334625	23724	23973	758	758	749
Orbicella_faveolata	48498	32587	32587	904	904	884
Orchesella_cincta	48709	20247	20247	824	824	824
Orcinus_orca	9733	63212	63268	896	896	894
Oreocharis_arfaki	979223	13998	15477	843	843	841
Oreochromis_aureus	47969	49669	49985	930	930	927
Oreochromis_niloticus	8128	61679	62032	928	928	918
Oreotrochilus_melanogaster	689266	12134	13547	764	764	761
Origma_solitaria	720586	14477	16053	853	853	851
Oriolus_oriolus	181099	13936	15592	815	815	815
Ornithorhynchus_anatinus	9258	43095	43203	954	954	942
Orthonyx_spaldingii	38397	14292	15842	863	863	862
Orussus_abietinus	222816	19696	19696	963	963	958
Orycteropus_afer	9818	25544	25653	951	951	930
Oryctolagus_cuniculus	9986	38458	38705	889	889	722
Oryx_dammah	59534	43963	44076	869	869	867
Oryzias_javanicus	123683	21454	21454	865	865	865
Oryzias_latipes	8090	44766	44871	931	931	925
Oryzias_melastigma	30732	43112	43304	931	931	893
Osmia_bicornis	1437190	24839	24839	934	934	931
Osmia_lignaria	473952	25907	25907	960	960	956
Ostrea_edulis	37623	57349	57349	953	953	947
Ostrinia_furnacalis	93504	23871	23871	956	956	940
Otolemur_garnettii	30611	32556	32670	939	939	929
Ovis_ammon	30527	20907	20907	878	878	878
Ovis_aries	9940	42390	42628	907	907	887
Owenia_fusiformis	6347	30799	31200	928	928	914
Oxylabes_madagascariensis	98144	8998	10415	624	624	622
Oxyruncus_cristatus	114331	14046	15543	851	851	850
Oxyura_jamaicensis	8884	39795	39815	899	899	889
Pachycephala_philippinensis	449367	13335	15252	812	812	809
Pachyramphus_minor	369605	13741	15567	838	838	836
Pan_paniscus	9597	70846	70991	896	896	893
Pan_troglodytes	9598	80807	80981	942	942	902
Pandion_haliaetus	56262	12604	14179	737	737	734
Pangasianodon_gigas	30993	22017	22338	906	906	906
Pangasianodon_hypophthalmus	310915	47335	47541	918	918	918
Pangasius_djambal	1691987	22470	22482	915	915	915
Panonychus_citri	50023	14862	14862	773	773	710
Panthera_leo	9689	53278	53409	932	932	921
Panthera_pardus	9691	56348	56530	935	935	930
Panthera_tigris	9694	29473	29550	944	944	907
Panthera_uncia	29064	43841	43941	920	920	914
Pantherophis_guttatus	94885	41701	41848	957	957	949
Panurus_biarmicus	181101	12822	14599	794	794	794
Papilio_machaon	76193	18225	18225	954	954	950
Papilio_polytes	76194	16633	16633	939	939	924
Papilio_xuthus	66420	19075	19075	956	956	948
Papio_anubis	9555	71983	72195	899	899	884
Paragonimus_heterotremus	100268	12487	12487	821	821	815
Paragonimus_kellicotti	100269	12850	12850	752	752	746
Paragonimus_westermani	34504	12783	12783	802	802	802
Paralichthys_olivaceus	8255	36123	36127	934	934	915
Paramacrobiotus_metropolitanus	2943436	30867	30867	846	846	821
Parambassis_ranga	210632	40932	41023	910	910	906
Paramormyrops_kingsleyae	1676925	55288	55349	888	888	886
Paramuricea_clavata	317549	69834	69836	903	903	861
Pararge_aegeria	116150	20956	20956	966	966	961
Parasteatoda_tepidariorum	114398	33089	33089	922	922	877
Pardalotus_punctatus	254575	13671	15208	823	823	823
Parelaphostrongylus_tenuis	148309	29657	29657	798	798	791
Parnassius_apollo	110799	30102	30102	945	945	929
Parus_major	9157	38619	38630	909	909	902
Passer_montanus	9160	39149	39184	944	944	915
Passerina_amoena	142471	12985	15090	744	744	744
Patagioenas_fasciata	372321	24805	24805	907	907	903
Patella_vulgata	6465	27726	27726	864	864	863
Patiria_miniata	46514	35403	35403	907	907	892
Pecten_maximus	6579	39918	39918	921	921	902
Pectinophora_gossypiella	13191	23452	23452	956	956	955
Pediculus_humanus	121225	10775	10775	962	962	961
Pedionomus_torquatus	227192	13321	14803	807	807	806
Pelecanoides_urinatrix	37079	14766	16294	860	860	860
Pelecanus_crispus	36300	16298	16312	851	851	765
Pelodiscus_sinensis	13735	38587	38784	928	928	884
Penaeus_chinensis	139456	34830	34830	932	932	911
Penaeus_japonicus	27405	39224	39224	913	913	873
Penaeus_monodon	6687	32816	32816	860	860	656
Penaeus_vannamei	6689	33273	33273	837	837	685
Penelope_pileata	1118817	13955	15603	838	838	833
Perca_flavescens	8167	42939	43197	935	935	927
Perca_fluviatilis	8168	49921	50212	931	931	902
Periophthalmus_magnuspinnatus	409849	27511	27601	926	926	920
Periplaneta_americana	6978	27047	27047	595	595	595
Perognathus_longimembris	38669	40270	40381	879	879	871
Peromyscus_californicus	42520	51825	52107	886	886	882
Peromyscus_leucopus	10041	48177	48592	862	862	832
Peromyscus_maniculatus	10042	45588	45916	927	927	921
Petromyzon_marinus	7757	37576	37576	925	925	918
Peucedramus_taeniatus	135441	13677	15371	802	802	799
Phacochoerus_africanus	41426	48130	48234	946	946	929
Phaedon_cochleariae	80249	13464	13464	859	859	859
Phaethon_lepturus	97097	16216	16226	872	872	803
Phaetusa_simplex	297813	13260	14985	814	814	812
Phainopepla_nitens	161653	13545	15189	810	810	810
Phalacrocorax_carbo	9209	15339	15348	823	823	710
Phascolarctos_cinereus	38626	46908	47079	959	959	911
Phasianus_colchicus	9054	29007	29046	944	944	928
Pheucticus_melanocephalus	371919	12796	15291	765	765	765
Phlebotomus_papatasi	29031	20318	20318	945	945	939
Phoca_vitulina	9720	45385	45438	889	889	888
Phocoena_sinus	42100	52282	52320	893	893	865
Phodopus_roborovskii	109678	34929	35082	891	891	886
Photinus_pyralis	7054	32294	32294	814	814	811
Phrynocephalus_forsythii	171643	20194	20194	904	904	893
Phrynosoma_platyrhinos	52577	16750	16750	830	830	801
Phthorimaea_operculella	192464	16619	16619	898	898	898
Phyllostomus_discolor	89673	46999	47220	928	928	891
Phyllostomus_hastatus	9423	45413	45674	936	936	935
Phyllotreta_striolata	444603	12196	12196	913	913	912
Physeter_catodon	9755	51736	51779	876	876	870
Piaya_cayana	33601	14022	15360	835	835	832
Picathartes_gymnocephalus	175131	13533	15038	825	825	825
Pieris_brassicae	7116	21929	21929	955	955	954
Pieris_macdunnoughi	345717	18654	18655	946	946	946
Pieris_napi	78633	23367	23367	958	958	956
Pieris_rapae	64459	20497	20497	953	953	953
Piliocolobus_tephrosceles	591936	55454	55603	910	910	901
Pimephales_promelas	90988	48455	48589	896	896	876
Pipistrellus_kuhlii	59472	53802	53872	899	899	895
Pipra_filicauda	649802	35857	35876	914	914	906
Piprites_chloris	114369	14148	15627	836	836	836
Pitangus_sulphuratus	371930	17493	17493	758	758	749
Pitta_sordida	9163	13881	15488	827	827	820
Plakobranchus_ocellatus	259542	77230	77230	947	947	940
Platysteira_castanea	1160851	14025	15818	834	834	834
